cycle,instant_energy,cumulative_energy
956,-1.38,-1.232748171
957,-1.36,-1.232881002
958,-1.45,-1.233107404
959,-1.18,-1.233052083
960,-1.16,-1.232976067
961,-1.19,-1.232931393
962,-1.22,-1.232917965
963,-1.18,-1.232863071
964,-1.27,-1.232901554
965,-1.22,-1.232888199
966,-1.14,-1.232792141
967,-1.15,-1.232706612
968,-1.24,-1.232714138
969,-1.1,-1.23257732
970,-1.08,-1.232420185
971,-1.1,-1.232283951
972,-1.23,-1.232281603
973,-1.17,-1.232217659
974,-1.24,-1.232225641
975,-1.19,-1.232182377
976,-1.28,-1.23223132
977,-1.38,-1.232382413
978,-1.32,-1.23247191
979,-1.35,-1.232591837
980,-1.36,-1.232721713
981,-1.33,-1.232820774
982,-1.39,-1.232980671
983,-1.42,-1.233170732
984,-1.36,-1.233299492
985,-1.31,-1.233377282
986,-1.42,-1.233566363
987,-1.38,-1.233714575
988,-1.31,-1.233791709
989,-1.31,-1.233868687
990,-1.26,-1.233895055
991,-1.27,-1.233931452
992,-1.29,-1.233987915
993,-1.26,-1.234014085
994,-1.4,-1.234180905
995,-1.29,-1.234236948
