t,x1,y1,z1,x2,y2,z2
3.0875,23.2041,10.9378,27.192,37.786,38.7085,8.25231
3.1,23.4821,11.0589,27.2574,38.2547,38.9073,8.24951
3.1125,23.7634,11.1712,27.3229,38.7294,39.0923,8.24651
3.125,24.0479,11.2748,27.3887,39.2095,39.2633,8.2433
3.1375,24.3351,11.3694,27.4547,39.6948,39.42,8.23988
3.15,24.6249,11.4551,27.5208,40.1847,39.5623,8.23627
3.1625,24.917,11.5317,27.5872,40.6788,39.6901,8.23245
3.175,25.2111,11.5992,27.6538,41.1768,39.8033,8.22843
3.1875,25.507,11.6575,27.7206,41.678,39.9017,8.22422
3.2,25.8043,11.7067,27.7875,42.1822,39.9852,8.21982
3.2125,26.1027,11.7465,27.8547,42.6888,40.0538,8.21522
3.225,26.4021,11.7771,27.9221,43.1975,40.1074,8.21043
3.2375,26.7021,11.7984,27.9896,43.7076,40.146,8.20545
3.25,27.0025,11.8104,28.0573,44.2189,40.1694,8.20028
3.2625,27.3029,11.8131,28.1253,44.7308,40.1778,8.19492
3.275,27.603,11.8065,28.1934,45.2429,40.1709,8.18938
3.2875,27.9027,11.7906,28.2617,45.7547,40.149,8.18365
3.3,28.2016,11.7655,28.3301,46.2658,40.1118,8.17774
3.3125,28.4995,11.7311,28.3988,46.7757,40.0596,8.17165
3.325,28.796,11.6874,28.4676,47.2839,39.9923,8.16537
3.3375,29.0909,11.6347,28.5367,47.7901,39.91,8.15892
3.35,29.3839,11.5728,28.6059,48.2937,39.8128,8.15229
3.3625,29.6747,11.5019,28.6752,48.7944,39.7006,8.14548
3.375,29.9631,11.4221,28.7448,49.2916,39.5737,8.13849
3.3875,30.2488,11.3334,28.8145,49.7849,39.4322,8.13132
3.4,30.5316,11.2358,28.8844,50.274,39.2761,8.12398
3.4125,30.8111,11.1296,28.9545,50.7582,39.1055,8.11647
3.425,31.0871,11.0148,29.0248,51.2373,38.9208,8.10878
3.4375,31.3594,10.8914,29.0952,51.7108,38.7219,8.10091
3.45,31.6277,10.7598,29.1658,52.1782,38.509,8.09288
3.4625,31.8917,10.6199,29.2366,52.6392,38.2825,8.08467
3.475,32.1512,10.4718,29.3076,53.0934,38.0424,8.07629
3.4875,32.4059,10.3158,29.3787,53.5403,37.7889,8.06773
3.5,32.6557,10.152,29.45,53.9795,37.5223,8.05901
3.5125,32.9003,9.98058,29.5215,54.4107,37.2429,8.05011
3.525,33.1394,9.80161,29.5931,54.8334,36.9508,8.04104
3.5375,33.3729,9.61532,29.6649,55.2474,36.6463,8.0318
3.55,33.6005,9.42188,29.7369,55.6522,36.3298,8.02239
3.5625,33.8219,9.22146,29.809,56.0474,36.0014,8.01281
3.575,34.0371,9.01427,29.8814,56.4327,35.6615,8.00306
3.5875,34.2458,8.80048,29.9539,56.8079,35.3103,7.99314
3.6,34.4477,8.58031,30.0265,57.1724,34.9482,7.98305
3.6125,34.6428,8.35396,30.0994,57.5261,34.5755,7.97279
3.625,34.8308,8.12164,30.1724,57.8686,34.1925,7.96236
3.6375,35.0115,7.88357,30.2455,58.1996,33.7996,7.95176
3.65,35.1848,7.63997,30.3189,58.5188,33.3971,7.94098
3.6625,35.3505,7.39106,30.3924,58.8259,32.9854,7.93004
3.675,35.5085,7.1371,30.4661,59.1206,32.5648,7.91892
3.6875,35.6586,6.87829,30.54,59.4028,32.1357,7.90763
3.7,35.8006,6.6149,30.614,59.6721,31.6986,7.89617
3.7125,35.9345,6.34717,30.6882,59.9283,31.2537,7.88454
3.725,36.06,6.07534,30.7626,60.1712,30.8014,7.87273
3.7375,36.1771,5.79967,30.8371,60.4005,30.3423,7.86075
3.75,36.2857,5.52041,30.9119,60.6161,29.8767,7.8486
