t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
2.3625,23.1312,-17.0776,-1.35499,-21.9808,15.6358,-13.8399,37.4015,-0.682477,7.19235,-33.5819,22.5428,-0.338747
2.375,22.8599,-16.8784,-1.52793,-21.432,16.2381,-13.8312,36.9867,-0.394437,7.18784,-32.7765,23.5398,-0.381983
2.3875,22.5955,-16.6717,-1.70076,-20.8661,16.8242,-13.8215,36.5822,-0.0940808,7.1828,-31.9427,24.5131,-0.42519
2.4,22.3383,-16.4578,-1.87346,-20.2835,17.3937,-13.8107,36.1883,0.218288,7.17721,-31.0812,25.4618,-0.468366
2.4125,22.0885,-16.237,-2.04603,-19.6849,17.9461,-13.7989,35.8053,0.542358,7.17109,-30.1927,26.3851,-0.511506
2.425,21.8463,-16.0093,-2.21843,-19.0706,18.4809,-13.7861,35.4335,0.877807,7.16442,-29.2779,27.2823,-0.554608
2.4375,21.6118,-15.775,-2.39067,-18.4412,18.9976,-13.7723,35.0734,1.2243,7.15722,-28.3376,28.1525,-0.597669
2.45,21.3853,-15.5344,-2.56274,-17.7973,19.4959,-13.7574,34.7252,1.5815,7.14948,-27.3726,28.9952,-0.640684
2.4625,21.1669,-15.2877,-2.7346,-17.1393,19.9754,-13.7414,34.3892,1.94906,7.1412,-26.3837,29.8095,-0.683651
2.475,20.9569,-15.0351,-2.90627,-16.4677,20.4356,-13.7245,34.0657,2.32662,7.13239,-25.3717,30.5948,-0.726567
2.4875,20.7553,-14.7769,-3.07771,-15.7833,20.8761,-13.7065,33.755,2.71381,7.12304,-24.3375,31.3505,-0.769428
2.5,20.5623,-14.5133,-3.24893,-15.0865,21.2967,-13.6875,33.4574,3.11026,7.11316,-23.2819,32.0759,-0.812231
2.5125,20.3782,-14.2445,-3.4199,-14.3779,21.6969,-13.6674,33.173,3.51558,7.10274,-22.2058,32.7705,-0.854974
2.525,20.2029,-13.9709,-3.59061,-13.6581,22.0764,-13.6463,32.9023,3.92939,7.09178,-21.1101,33.4336,-0.897652
