t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
1.8625,34.2196,-16.8472,7.14095,-27.803,-12.5498,-12.3246,60.169,-0.70525,5.29331,-36.5405,-28.2591,0.368693
1.875,33.8701,-16.9992,6.98664,-28.1064,-11.7837,-12.3644,59.7084,-1.05144,5.2977,-37.1546,-27.1284,0.334235
1.8875,33.517,-17.1417,6.83184,-28.3882,-11.0095,-12.4034,59.2403,-1.38339,5.30167,-37.7351,-25.9804,0.299943
1.9,33.1605,-17.2744,6.67656,-28.6483,-10.2277,-12.4417,58.7652,-1.70088,5.3052,-38.2816,-24.8163,0.265829
1.9125,32.8009,-17.3974,6.5208,-28.8866,-9.43906,-12.4793,58.2834,-2.00373,5.30831,-38.7937,-23.637,0.231904
1.925,32.4385,-17.5104,6.36458,-29.1027,-8.64415,-12.5162,57.7955,-2.29175,5.311,-39.2708,-22.4434,0.198181
1.9375,32.0734,-17.6135,6.2079,-29.2966,-7.84363,-12.5523,57.3018,-2.56476,5.31327,-39.7127,-21.2367,0.164673
1.95,31.7061,-17.7065,6.05077,-29.4681,-7.03814,-12.5878,56.8028,-2.82262,5.31512,-40.1188,-20.0177,0.131391
1.9625,31.3368,-17.7894,5.89321,-29.617,-6.22836,-12.6225,56.299,-3.06516,5.31656,-40.489,-18.7875,0.0983486
1.975,30.9658,-17.8622,5.73521,-29.7434,-5.41493,-12.6566,55.7907,-3.29226,5.31758,-40.8228,-17.5472,0.0655602
1.9875,30.5933,-17.9248,5.5768,-29.8469,-4.59851,-12.69,55.2786,-3.5038,5.3182,-41.12,-16.2978,0.0330393
2,30.2197,-17.9771,5.41797,-29.9277,-3.77978,-12.7227,54.7629,-3.69968,5.31841,-41.3803,-15.0404,0.000799961
2.0125,29.8452,-18.0192,5.25873,-29.9857,-2.95939,-12.7548,54.2442,-3.87979,5.31822,-41.6035,-13.7759,-0.0311432
2.025,29.4702,-18.0511,5.0991,-30.0207,-2.13801,-12.7862,53.723,-4.04405,5.31763,-41.7895,-12.5055,-0.0627753
2.0375,29.0948,-18.0727,4.93908,-30.0328,-1.31631,-12.817,53.1996,-4.19241,5.31665,-41.938,-11.2303,-0.0940812
2.05,28.7195,-18.084,4.77868,-30.022,-0.494958,-12.8471,52.6747,-4.32479,5.31528,-42.049,-9.95125,-0.125046
2.0625,28.3444,-18.0851,4.6179,-29.9883,0.325376,-12.8767,52.1485,-4.44118,5.31353,-42.1223,-8.66948,-0.155653
2.075,27.9698,-18.0759,4.45676,-29.9318,1.14403,-12.9056,51.6218,-4.54153,5.31139,-42.158,-7.38607,-0.185887
2.0875,27.5962,-18.0565,4.29527,-29.8524,1.96033,-12.9339,51.0948,-4.62583,5.30888,-42.1559,-6.10209,-0.215732
2.1,27.2236,-18.0269,4.13342,-29.7504,2.77362,-12.9617,50.568,-4.69408,5.306,-42.116,-4.81862,-0.245173
2.1125,26.8525,-17.9871,3.97123,-29.6256,3.58323,-12.9888,50.042,-4.7463,5.30275,-42.0385,-3.53674,-0.274191
2.125,26.4831,-17.9373,3.8087,-29.4784,4.38851,-13.0155,49.5172,-4.78251,5.29915,-41.9234,-2.25752,-0.302773
2.1375,26.1156,-17.8775,3.64584,-29.3087,5.18881,-13.0415,48.9941,-4.80276,5.29519,-41.7707,-0.982048,-0.330901
2.15,25.7505,-17.8076,3.48266,-29.1168,5.98347,-13.0671,48.4731,-4.80708,5.29088,-41.5807,0.288616,-0.358559
2.1625,25.3878,-17.7279,3.31917,-28.9027,6.77185,-13.0921,47.9547,-4.79557,5.28622,-41.3534,1.5534,-0.385731
2.175,25.028,-17.6384,3.15536,-28.6668,7.55331,-13.1166,47.4394,-4.76828,5.28123,-41.0891,2.81125,-0.412402
2.1875,24.6712,-17.5391,2.99125,-28.409,8.32721,-13.1406,46.9276,-4.72532,5.27592,-40.788,4.06109,-0.438557
2.2,24.3178,-17.4302,2.82685,-28.1298,9.09292,-13.1641,46.4199,-4.66679,5.27027,-40.4505,5.30189,-0.46418
2.2125,23.9681,-17.3118,2.66215,-27.8292,9.84983,-13.1872,45.9165,-4.59282,5.26431,-40.0766,6.53259,-0.489258
2.225,23.6222,-17.184,2.49717,-27.5075,10.5973,-13.2098,45.4181,-4.50352,5.25804,-39.6669,7.75217,-0.513775
2.2375,23.2805,-17.0469,2.33191,-27.165,11.3348,-13.2319,44.925,-4.39906,5.25147,-39.2217,8.95959,-0.53772
2.25,22.9432,-16.9007,2.16638,-26.802,12.0616,-13.2536,44.4377,-4.27959,5.2446,-38.7413,10.1539,-0.561079
2.2625,22.6105,-16.7454,2.00057,-26.4187,12.7773,-13.2748,43.9566,-4.14528,5.23745,-38.2262,11.3339,-0.583842
2.275,22.2828,-16.5813,1.83451,-26.0154,13.4811,-13.2956,43.4822,-3.99631,5.23001,-37.6768,12.4988,-0.605997
2.2875,21.9602,-16.4084,1.66819,-25.5925,14.1726,-13.3159,43.0148,-3.83287,5.2223,-37.0936,13.6476,-0.627536
2.3,21.643,-16.227,1.50161,-25.1503,14.8512,-13.3359,42.555,-3.65519,5.21433,-36.4772,14.7793,-0.648449
2.3125,21.3315,-16.0372,1.33479,-24.6891,15.5163,-13.3554,42.103,-3.46347,5.20609,-35.828,15.8928,-0.66873
2.325,21.0259,-15.8392,1.16773,-24.2092,16.1674,-13.3745,41.6594,-3.25795,5.19761,-35.1466,16.9874,-0.688374
2.3375,20.7264,-15.6331,1.00043,-23.7111,16.804,-13.3932,41.2245,-3.03887,5.18889,-34.4337,18.062,-0.707375
2.35,20.4332,-15.4191,0.832901,-23.1952,17.4256,-13.4115,40.7987,-2.80649,5.17993,-33.6899,19.1158,-0.725732
2.3625,20.1466,-15.1975,0.665145,-22.6618,18.0316,-13.4293,40.3824,-2.56107,5.17075,-32.9158,20.1479,-0.743443
2.375,19.8667,-14.9684,0.49717,-22.1113,18.6217,-13.4467,39.9759,-2.30288,5.16135,-32.1121,21.1574,-0.760508
2.3875,19.5939,-14.732,0.328979,-21.5442,19.1952,-13.4637,39.5797,-2.03223,5.15174,-31.2795,22.1434,-0.776929
2.4,19.3282,-14.4886,0.160578,-20.9609,19.7518,-13.4803,39.1941,-1.7494,5.14193,-30.4188,23.105,-0.792711
2.4125,19.0699,-14.2383,-0.00802737,-20.3619,20.291,-13.4964,38.8193,-1.45471,5.13192,-29.5307,24.0416,-0.80786
2.425,18.8192,-13.9814,-0.176831,-19.7476,20.8124,-13.5121,38.4559,-1.14847,5.12173,-28.6159,24.9523,-0.822381
2.4375,18.5763,-13.7181,-0.345828,-19.1184,21.3155,-13.5273,38.1041,-0.831015,5.11136,-27.6753,25.8363,-0.836285
2.45,18.3413,-13.4486,-0.515012,-18.475,21.8,-13.5421,37.7641,-0.502679,5.10083,-26.7098,26.6929,-0.849583
2.4625,18.1145,-13.1732,-0.684378,-17.8177,22.2656,-13.5563,37.4364,-0.163811,5.09013,-25.72,27.5213,-0.862286
2.475,17.8959,-12.892,-0.853918,-17.1471,22.7117,-13.57,37.1212,0.185232,5.07927,-24.707,28.3209,-0.874409
2.4875,17.6858,-12.6055,-1.02363,-16.4637,23.1381,-13.5832,36.8188,0.544086,5.06827,-23.6717,29.0909,-0.885968
2.5,17.4844,-12.3137,-1.1935,-15.768,23.5444,-13.5959,36.5295,0.912377,5.05713,-22.6148,29.8307,-0.89698
2.5125,17.2917,-12.0169,-1.36352,-15.0607,23.9303,-13.608,36.2535,1.28972,5.04585,-21.5373,30.5397,-0.907462
